location,diabetes-related-lower-extremity-amputation-hospitalizations,female-breast-cancer-incidence,colorectal-cancer-incidence,prostate-cancer-incidence,lung-cancer-incidence,lung-cancer-incidence,late-stage-female-breast-cancer-incidence,child-obesity,asthma,diabetes,hypertension,diabetes-related-hospitalizations,adult-obesity,asthma-ed-visits-(0-4-years),asthma-ed-visits-(0-18-years),asthma-ed-visits-(65+-years),cancer-incidence,cervical-cancer-incidence,schizophrenic-disorder-hospitalizations,serious-psychological-distress,youth-depression,youth-suicide-attempts,drug-related-hospitalizations,alcohol-related-hospitalizations,behavioral-health-hospitalizations,behavioral-health-treatment,mood-and-depressive-disorder-hospitalizations,crude-birth-rate,general-fertility-rate,total-fertility-rate,twin-birth-rate,very-low-birthweight,lead-poisoning,very-low-birthweight,cesarean-delivery,mean-age-at-first-birth,preterm-births,hiv-incidence,linkage-to-hiv-care,tuberculosis,varicella,chlamydia,gonorrhea,hiv-prevalence,pertussis,syphilis,have-a-disability,overall-health-status,non-fatal-shootings,sexual-assault,serious-traffic-crash-injuries
albany-park,,35.0,18.0,16.0,,,7.0,,,,,,,,,,161.0,3.0,,,,,,,,,,834.2,831.2,834.2,22.0,9.6,,9.6,129.6,,72.0,,,,,,,,,,,,,,
archer-heights,,9.0,4.0,5.0,,,,,,,,,,,,,44.0,1.0,,,,,,,,,,230.2,229.8,230.0,5.0,3.6,,3.6,28.8,,18.6,,,,,,,,,,,,,,
armour-square,,15.0,10.0,,,,,,,,,,,,,,66.0,1.0,,,,,,,,,,160.6,160.2,160.6,4.0,2.8,,2.8,30.6,,15.4,,,,,,,,,,,,,,
ashburn,,55.0,21.0,33.0,,,11.0,,,,,,,,,,197.0,3.0,,,,,,,,,,493.2,491.6,493.0,15.0,9.6,,9.6,72.4,,55.0,,,,,,,,,,,,,,
auburn-gresham,,77.0,38.0,45.0,,,19.0,,,,,,,,,,321.0,5.0,,,,,,,,,,634.2,632.6,634.2,28.0,22.6,,22.6,99.0,,93.4,,,,,,,,,,,,,,
austin,,124.0,58.0,79.0,,,35.0,,,,,,,,,,557.0,6.0,,,,,,,,,,1556.0,1550.8,1555.8,47.0,45.0,,45.0,200.0,,207.8,,,,,,,,,,,,,,
avalon-park,,24.0,5.0,13.0,,,6.0,,,,,,,,,,77.0,1.0,,,,,,,,,,106.0,105.8,106.0,3.0,3.2,,3.2,18.6,,14.2,,,,,,,,,,,,,,
avondale,,26.0,12.0,11.0,,,7.0,,,,,,,,,,108.0,1.0,,,,,,,,,,630.8,629.2,630.8,19.0,10.0,,10.0,99.6,,56.4,,,,,,,,,,,,,,
belmont-cragin,,44.0,24.0,27.0,,,15.0,,,,,,,,,,224.0,5.0,,,,,,,,,,1325.4,1322.0,1325.4,32.0,21.2,,21.2,175.2,,126.4,,,,,,,,,,,,,,
beverly,,42.0,7.0,21.0,,,7.0,,,,,,,,,,113.0,0.0,,,,,,,,,,215.6,214.8,215.4,13.0,5.8,,5.8,31.4,,23.4,,,,,,,,,,,,,,
bridgeport,,26.0,13.0,11.0,,,7.0,,,,,,,,,,115.0,1.0,,,,,,,,,,416.0,415.2,416.0,13.0,4.4,,4.4,64.4,,38.2,,,,,,,,,,,,,,
brighton-park,,24.0,11.0,12.0,,,8.0,,,,,,,,,,97.0,2.0,,,,,,,,,,782.2,779.6,782.2,18.0,9.8,,9.8,98.2,,77.6,,,,,,,,,,,,,,
burnside,,,,,,,,,,,,,,,,,20.0,0.0,,,,,,,,,,32.6,32.6,32.6,3.0,1.4,,1.4,4.4,,5.8,,,,,,,,,,,,,,
calumet-heights,,40.0,12.0,14.0,,,7.0,,,,,,,,,,111.0,1.0,,,,,,,,,,122.4,122.4,122.4,6.0,3.8,,3.8,17.6,,16.4,,,,,,,,,,,,,,
chatham,,54.0,24.0,30.0,,,14.0,,,,,,,,,,214.0,2.0,,,,,,,,,,400.8,400.0,400.8,15.0,14.8,,14.8,68.6,,55.8,,,,,,,,,,,,,,
chicago-lawn,,38.0,18.0,28.0,,,11.0,,,,,,,,,,172.0,3.0,,,,,,,,,,966.4,963.0,966.0,31.0,23.6,,23.6,118.2,,114.6,,,,,,,,,,,,,,
clearing,,24.0,12.0,9.0,,,6.0,,,,,,,,,,113.0,1.0,,,,,,,,,,300.0,299.2,299.8,7.0,4.0,,4.0,48.2,,23.2,,,,,,,,,,,,,,
douglas,,27.0,11.0,15.0,,,6.0,,,,,,,,,,118.0,0.0,,,,,,,,,,235.0,234.4,234.8,10.0,4.6,,4.6,43.4,,28.0,,,,,,,,,,,,,,
dunning,,54.0,29.0,24.0,,,11.0,,,,,,,,,,244.0,2.0,,,,,,,,,,488.4,487.6,488.4,21.0,6.6,,6.6,77.6,,46.0,,,,,,,,,,,,,,
east-garfield-park,,18.0,12.0,13.0,,,4.0,,,,,,,,,,94.0,2.0,,,,,,,,,,354.4,354.0,354.4,16.0,13.2,,13.2,45.0,,54.6,,,,,,,,,,,,,,
east-side,,13.0,7.0,10.0,,,,,,,,,,,,,101.0,1.0,,,,,,,,,,352.0,351.6,352.0,8.0,3.6,,3.6,37.8,,33.4,,,,,,,,,,,,,,
edgewater,,62.0,28.0,30.0,,,15.0,,,,,,,,,,273.0,2.0,,,,,,,,,,646.0,641.2,645.8,25.0,7.6,,7.6,113.2,,58.8,,,,,,,,,,,,,,
edison-park,,21.0,7.0,7.0,,,,,,,,,,,,,87.0,0.0,,,,,,,,,,127.8,126.2,127.4,7.0,0.6,,0.6,20.6,,10.0,,,,,,,,,,,,,,
englewood,,33.0,16.0,20.0,,,10.0,,,,,,,,,,171.0,3.0,,,,,,,,,,536.6,533.8,536.6,18.0,16.4,,16.4,69.4,,77.6,,,,,,,,,,,,,,
forest-glen,,31.0,11.0,11.0,,,9.0,,,,,,,,,,117.0,0.0,,,,,,,,,,194.0,192.2,194.0,12.0,3.2,,3.2,27.0,,21.4,,,,,,,,,,,,,,
fuller-park,,,,,,,,,,,,,,,,,19.0,0.0,,,,,,,,,,44.2,43.8,44.2,1.0,2.2,,2.2,7.4,,7.0,,,,,,,,,,,,,,
gage-park,,12.0,10.0,12.0,,,5.0,,,,,,,,,,89.0,1.0,,,,,,,,,,723.0,721.0,723.0,12.0,8.6,,8.6,87.4,,64.8,,,,,,,,,,,,,,
garfield-ridge,,48.0,22.0,25.0,,,11.0,,,,,,,,,,230.0,2.0,,,,,,,,,,422.6,422.4,422.6,13.0,6.6,,6.6,64.0,,35.2,,,,,,,,,,,,,,
grand-boulevard,,29.0,15.0,16.0,,,9.0,,,,,,,,,,111.0,1.0,,,,,,,,,,333.6,332.4,333.6,19.0,10.0,,10.0,52.2,,49.4,,,,,,,,,,,,,,
greater-grand-crossing,,43.0,18.0,23.0,,,11.0,,,,,,,,,,217.0,3.0,,,,,,,,,,529.0,526.6,528.8,20.0,17.0,,17.0,73.4,,69.4,,,,,,,,,,,,,,
hegewisch,,,8.0,6.0,,,,,,,,,,,,,57.0,1.0,,,,,,,,,,110.2,109.8,110.2,6.0,2.0,,2.0,13.8,,15.4,,,,,,,,,,,,,,
hermosa,,17.0,7.0,8.0,,,5.0,,,,,,,,,,58.0,1.0,,,,,,,,,,413.8,412.6,413.8,7.0,7.4,,7.4,56.8,,36.6,,,,,,,,,,,,,,
humboldt-park,,37.0,18.0,27.0,,,13.0,,,,,,,,,,187.0,4.0,,,,,,,,,,984.8,980.8,984.6,21.0,21.4,,21.4,133.4,,110.4,,,,,,,,,,,,,,
hyde-park,,44.0,8.0,19.0,,,6.0,,,,,,,,,,123.0,0.0,,,,,,,,,,259.6,258.4,259.4,11.0,3.4,,3.4,33.6,,24.4,,,,,,,,,,,,,,
irving-park,,55.0,22.0,17.0,,,13.0,,,,,,,,,,193.0,2.0,,,,,,,,,,855.4,852.2,855.4,33.0,11.2,,11.2,137.2,,74.0,,,,,,,,,,,,,,
jefferson-park,,36.0,12.0,14.0,,,6.0,,,,,,,,,,155.0,1.0,,,,,,,,,,333.0,330.8,332.8,18.0,4.8,,4.8,48.8,,32.2,,,,,,,,,,,,,,
kenwood,,38.0,10.0,12.0,,,7.0,,,,,,,,,,110.0,1.0,,,,,,,,,,205.2,203.8,205.2,10.0,7.2,,7.2,30.0,,27.6,,,,,,,,,,,,,,
lake-view,,103.0,23.0,32.0,,,15.0,,,,,,,,,,287.0,2.0,,,,,,,,,,1368.4,1359.2,1366.0,81.0,16.0,,16.0,207.0,,132.0,,,,,,,,,,,,,,
lincoln-park,,88.0,16.0,30.0,,,12.0,,,,,,,,,,222.0,1.0,,,,,,,,,,867.4,859.4,866.4,57.0,8.6,,8.6,126.4,,79.4,,,,,,,,,,,,,,
lincoln-square,,42.0,17.0,16.0,,,7.0,,,,,,,,,,152.0,2.0,,,,,,,,,,680.2,678.0,679.8,39.0,10.2,,10.2,118.0,,66.2,,,,,,,,,,,,,,
logan-square,,54.0,19.0,21.0,,,8.0,,,,,,,,,,191.0,3.0,,,,,,,,,,1284.6,1281.8,1284.6,52.0,15.4,,15.4,185.0,,110.6,,,,,,,,,,,,,,
loop,,35.0,8.0,16.0,,,7.0,,,,,,,,,,106.0,1.0,,,,,,,,,,378.2,375.8,377.6,22.0,5.8,,5.8,72.6,,31.8,,,,,,,,,,,,,,
lower-west-side,,14.0,5.0,10.0,,,5.0,,,,,,,,,,86.0,2.0,,,,,,,,,,520.0,518.4,520.0,14.0,6.2,,6.2,68.6,,51.0,,,,,,,,,,,,,,
mckinley-park,,10.0,5.0,5.0,,,,,,,,,,,,,46.0,1.0,,,,,,,,,,249.6,249.0,249.6,4.0,2.4,,2.4,36.8,,20.0,,,,,,,,,,,,,,
montclare,,12.0,8.0,7.0,,,,,,,,,,,,,61.0,1.0,,,,,,,,,,181.0,180.8,181.0,3.0,2.8,,2.8,27.8,,19.2,,,,,,,,,,,,,,
morgan-park,,48.0,13.0,21.0,,,10.0,,,,,,,,,,144.0,1.0,,,,,,,,,,262.4,261.6,262.4,10.0,6.6,,6.6,43.8,,35.6,,,,,,,,,,,,,,
mount-greenwood,,23.0,9.0,13.0,,,4.0,,,,,,,,,,95.0,0.0,,,,,,,,,,238.0,237.8,238.0,11.0,2.0,,2.0,44.0,,21.0,,,,,,,,,,,,,,
near-north-side,,175.0,30.0,48.0,,,20.0,,,,,,,,,,424.0,3.0,,,,,,,,,,962.4,951.4,960.8,66.0,14.8,,14.8,171.4,,101.4,,,,,,,,,,,,,,
near-south-side,,25.0,7.0,10.0,,,5.0,,,,,,,,,,73.0,1.0,,,,,,,,,,445.2,441.4,445.0,25.0,8.6,,8.6,77.6,,46.6,,,,,,,,,,,,,,
near-west-side,,54.0,19.0,23.0,,,12.0,,,,,,,,,,189.0,2.0,,,,,,,,,,1026.2,1020.6,1025.2,47.0,16.0,,16.0,182.6,,106.6,,,,,,,,,,,,,,
new-city,,23.0,16.0,15.0,,,6.0,,,,,,,,,,138.0,4.0,,,,,,,,,,827.6,824.6,827.6,25.0,17.8,,17.8,106.8,,94.4,,,,,,,,,,,,,,
north-center,,34.0,9.0,11.0,,,7.0,,,,,,,,,,111.0,1.0,,,,,,,,,,717.6,712.2,717.4,41.0,6.2,,6.2,102.2,,61.0,,,,,,,,,,,,,,
north-lawndale,,29.0,18.0,21.0,,,9.0,,,,,,,,,,169.0,2.0,,,,,,,,,,685.4,682.0,685.0,22.0,23.0,,23.0,82.6,,94.4,,,,,,,,,,,,,,
north-park,,29.0,13.0,10.0,,,6.0,,,,,,,,,,96.0,1.0,,,,,,,,,,219.4,219.2,219.4,6.0,3.0,,3.0,29.0,,18.6,,,,,,,,,,,,,,
norwood-park,,57.0,23.0,22.0,,,13.0,,,,,,,,,,274.0,1.0,,,,,,,,,,386.4,385.0,386.2,25.0,3.0,,3.0,65.0,,38.6,,,,,,,,,,,,,,
oakland,,,,,,,,,,,,,,,,,23.0,1.0,,,,,,,,,,98.4,98.0,98.2,2.0,2.2,,2.2,16.8,,12.6,,,,,,,,,,,,,,
ohare,,18.0,7.0,6.0,,,2.0,,,,,,,,,,63.0,0.0,,,,,,,,,,219.4,219.0,219.2,7.0,3.2,,3.2,40.4,,16.2,,,,,,,,,,,,,,
portage-park,,64.0,26.0,28.0,,,19.0,,,,,,,,,,280.0,3.0,,,,,,,,,,886.6,883.6,886.2,26.0,10.8,,10.8,137.0,,78.4,,,,,,,,,,,,,,
pullman,,14.0,,7.0,,,,,,,,,,,,,45.0,0.0,,,,,,,,,,86.4,86.4,86.4,3.0,2.6,,2.6,12.6,,11.8,,,,,,,,,,,,,,
riverdale,,,,,,,,,,,,,,,,,23.0,1.0,,,,,,,,,,103.2,103.0,103.0,4.0,3.4,,3.4,11.4,,14.0,,,,,,,,,,,,,,
rogers-park,,57.0,22.0,26.0,,,12.0,,,,,,,,,,194.0,2.0,,,,,,,,,,801.8,797.4,801.6,28.0,12.2,,12.2,126.4,,81.6,,,,,,,,,,,,,,
roseland,,60.0,31.0,46.0,,,17.0,,,,,,,,,,301.0,2.0,,,,,,,,,,566.4,563.4,566.4,16.0,16.6,,16.6,80.8,,74.8,,,,,,,,,,,,,,
south-chicago,,35.0,17.0,21.0,,,11.0,,,,,,,,,,153.0,2.0,,,,,,,,,,475.0,473.8,475.0,16.0,13.8,,13.8,60.4,,56.6,,,,,,,,,,,,,,
south-deering,,16.0,6.0,13.0,,,5.0,,,,,,,,,,84.0,1.0,,,,,,,,,,220.0,219.0,220.0,10.0,5.8,,5.8,27.6,,29.6,,,,,,,,,,,,,,
south-lawndale,,22.0,14.0,21.0,,,7.0,,,,,,,,,,141.0,4.0,,,,,,,,,,1291.4,1286.8,1291.4,25.0,18.6,,18.6,145.4,,131.8,,,,,,,,,,,,,,
south-shore,,65.0,33.0,39.0,,,17.0,,,,,,,,,,294.0,4.0,,,,,,,,,,757.2,754.6,757.0,21.0,19.6,,19.6,124.8,,94.6,,,,,,,,,,,,,,
uptown,,52.0,22.0,29.0,,,13.0,,,,,,,,,,273.0,4.0,,,,,,,,,,760.8,756.4,760.2,32.0,11.4,,11.4,126.6,,70.0,,,,,,,,,,,,,,
washington-heights,,52.0,17.0,32.0,,,12.0,,,,,,,,,,209.0,3.0,,,,,,,,,,296.6,295.0,296.6,15.0,8.2,,8.2,43.2,,41.6,,,,,,,,,,,,,,
washington-park,,13.0,5.0,8.0,,,,,,,,,,,,,50.0,1.0,,,,,,,,,,230.0,229.4,230.0,8.0,5.0,,5.0,30.4,,32.8,,,,,,,,,,,,,,
west-elsdon,,14.0,5.0,8.0,,,,,,,,,,,,,66.0,0.0,,,,,,,,,,285.2,284.2,285.2,5.0,2.6,,2.6,38.8,,25.4,,,,,,,,,,,,,,
west-englewood,,34.0,24.0,27.0,,,10.0,,,,,,,,,,191.0,4.0,,,,,,,,,,629.8,627.6,629.8,23.0,24.4,,24.4,81.4,,97.8,,,,,,,,,,,,,,
west-garfield-park,,19.0,7.0,12.0,,,5.0,,,,,,,,,,101.0,2.0,,,,,,,,,,335.4,333.8,335.4,12.0,12.8,,12.8,42.6,,55.2,,,,,,,,,,,,,,
west-lawn,,18.0,12.0,13.0,,,6.0,,,,,,,,,,99.0,1.0,,,,,,,,,,561.2,560.6,561.2,15.0,8.6,,8.6,77.6,,52.0,,,,,,,,,,,,,,
west-pullman,,41.0,18.0,33.0,,,9.0,,,,,,,,,,191.0,2.0,,,,,,,,,,431.6,430.0,431.6,14.0,10.6,,10.6,51.0,,51.0,,,,,,,,,,,,,,
west-ridge,,83.0,32.0,32.0,,,15.0,,,,,,,,,,330.0,3.0,,,,,,,,,,1207.4,1202.6,1206.6,42.0,17.2,,17.2,166.4,,117.0,,,,,,,,,,,,,,
west-town,,59.0,21.0,24.0,,,13.0,,,,,,,,,,220.0,3.0,,,,,,,,,,1532.0,1526.2,1530.8,74.0,19.6,,19.6,248.2,,139.8,,,,,,,,,,,,,,
woodlawn,,24.0,13.0,16.0,,,8.0,,,,,,,,,,121.0,2.0,,,,,,,,,,365.0,364.0,364.8,21.0,12.8,,12.8,56.0,,54.2,,,,,,,,,,,,,,
