neighborhood,zip,duplicates
albany-park,60630,7
albany-park,60618,7
albany-park,60641,7
albany-park,60625,5
archer-heights,60632,8
armour-square,60609,12
armour-square,60616,7
ashburn,60636,6
ashburn,60652,3
ashburn,60620,9
ashburn,60629,7
auburn-gresham,60621,5
auburn-gresham,60620,9
auburn-gresham,60636,6
austin,60624,5
austin,60651,3
austin,60707,3
austin,60639,6
austin,60644,2
avalon-park,60617,8
avalon-park,60619,9
avalon-park,60649,4
avondale,60618,7
avondale,60639,6
avondale,60647,7
avondale,60641,7
belmont-cragin,60707,3
belmont-cragin,60641,7
belmont-cragin,60634,5
belmont-cragin,60639,6
beverly,60655,3
beverly,60620,9
beverly,60643,5
bridgeport,60616,7
bridgeport,60609,12
bridgeport,60608,7
brighton-park,60609,12
brighton-park,60608,7
brighton-park,60632,8
brighton-park,60623,3
burnside,60619,9
calumet-heights,60619,9
calumet-heights,60617,8
chatham,60619,9
chatham,60620,9
chicago-lawn,60629,7
chicago-lawn,60652,3
chicago-lawn,60636,6
clearing,60638,3
clearing,60629,7
douglas,60609,12
douglas,60653,4
douglas,60616,7
dunning,60634,5
east-garfield-park,60624,5
east-garfield-park,60612,5
east-side,60617,8
edgewater,60626,3
edgewater,60640,5
edgewater,60660,4
edison-park,60631,4
englewood,60609,12
englewood,60621,5
englewood,60636,6
englewood,60620,9
forest-glen,60646,4
forest-glen,60659,4
forest-glen,60630,7
fuller-park,60609,12
gage-park,60632,8
gage-park,60636,6
gage-park,60609,12
gage-park,60629,7
garfield-ridge,60638,3
garfield-ridge,60629,7
garfield-ridge,60632,8
grand-boulevard,60615,4
grand-boulevard,60609,12
grand-boulevard,60653,4
greater-grand-crossing,60619,9
greater-grand-crossing,60621,5
greater-grand-crossing,60620,9
greater-grand-crossing,60637,5
hegewisch,60827,3
hegewisch,60617,8
hegewisch,60628,7
hermosa,60641,7
hermosa,60639,6
hermosa,60647,7
humboldt-park,60639,6
humboldt-park,60647,7
humboldt-park,60622,6
humboldt-park,60624,5
humboldt-park,60612,5
humboldt-park,60651,3
hyde-park,60637,5
hyde-park,60615,4
irving-park,60618,7
irving-park,60630,7
irving-park,60641,7
irving-park,60625,5
jefferson-park,60656,3
jefferson-park,60630,7
jefferson-park,60646,4
jefferson-park,60631,4
kenwood,60615,4
kenwood,60653,4
lake-view,60614,6
lake-view,60613,4
lake-view,60640,5
lake-view,60657,3
lincoln-park,60610,4
lincoln-park,60647,7
lincoln-park,60657,3
lincoln-park,60618,7
lincoln-park,60614,6
lincoln-park,60622,6
lincoln-square,60659,4
lincoln-square,60613,4
lincoln-square,60660,4
lincoln-square,60625,5
lincoln-square,60640,5
lincoln-square,60618,7
logan-square,60639,6
logan-square,60647,7
logan-square,60641,7
logan-square,60618,7
logan-square,60614,6
logan-square,60622,6
loop,6761,6
loop,12311,3
loop,60610,4
lower-west-side,60608,7
lower-west-side,6761,6
lower-west-side,60616,7
mckinley-park,60608,7
mckinley-park,60609,12
mckinley-park,60632,8
montclare,60634,5
montclare,60707,3
morgan-park,60643,5
morgan-park,60655,3
mount-greenwood,60655,3
near-north-side,60610,4
near-north-side,12311,3
near-north-side,60614,6
near-north-side,60622,6
near-north-side,6761,6
near-south-side,12311,3
near-south-side,6761,6
near-south-side,60616,7
near-west-side,60608,7
near-west-side,60622,6
near-west-side,60612,5
near-west-side,60616,7
near-west-side,6761,6
new-city,60632,8
new-city,60609,12
north-center,60613,4
north-center,60647,7
north-center,60640,5
north-center,60625,5
north-center,60657,3
north-center,60618,7
north-center,60614,6
north-lawndale,60608,7
north-lawndale,60612,5
north-lawndale,60624,5
north-lawndale,60623,3
north-park,60625,5
north-park,60659,4
north-park,60630,7
north-park,60646,4
norwood-park,60656,3
norwood-park,60630,7
norwood-park,60631,4
norwood-park,60646,4
oakland,60653,4
oakland,60616,7
ohare,60631,4
ohare,60634,5
ohare,60656,3
ohare,60666,1
portage-park,60634,5
portage-park,60630,7
portage-park,60641,7
pullman,60619,9
pullman,60617,8
pullman,60628,7
riverdale,60628,7
riverdale,60827,3
rogers-park,60645,2
rogers-park,60626,3
rogers-park,60660,4
roseland,60619,9
roseland,60643,5
roseland,60628,7
roseland,60620,9
south-chicago,60649,4
south-chicago,60617,8
south-deering,60617,8
south-deering,60827,3
south-deering,60619,9
south-deering,60628,7
south-lawndale,60638,3
south-lawndale,60623,3
south-lawndale,60632,8
south-lawndale,60608,7
south-shore,60637,5
south-shore,60649,4
south-shore,60617,8
south-shore,60619,9
uptown,60640,5
uptown,60613,4
washington-heights,60643,5
washington-heights,60620,9
washington-heights,60628,7
washington-park,60621,5
washington-park,60615,4
washington-park,60609,12
washington-park,60637,5
west-elsdon,60629,7
west-elsdon,60632,8
west-englewood,60609,12
west-englewood,60620,9
west-englewood,60636,6
west-englewood,60621,5
west-garfield-park,60644,2
west-garfield-park,60624,5
west-lawn,60652,3
west-lawn,60629,7
west-pullman,60628,7
west-pullman,60643,5
west-ridge,60645,2
west-ridge,60660,4
west-ridge,60659,4
west-ridge,60626,3
west-town,60622,6
west-town,60647,7
west-town,60651,3
west-town,60612,5
west-town,60614,6
west-town,6761,6
west-town,60610,4
woodlawn,60649,4
woodlawn,60637,5